Lat,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,Lon,Province/State,Country/Region,Last Update,date
32.3182,3563,93,NA,3470,1,75.98802021,21583,437,2.610159978,84000001,USA,460.3001516,12.26494527,-86.9023,Alabama,US,2020-04-12T23:18:15Z,2020-04-12
61.3707,272,8,66,264,2,45.50404936,8038,31,2.941176471,84000002,USA,1344.711576,11.39705882,-152.4044,Alaska,US,2020-04-12T23:18:15Z,2020-04-12
33.7298,3542,115,NA,3427,4,48.66242224,42109,NA,3.246753247,84000004,USA,578.5222863,NA,-111.4312,Arizona,US,2020-04-12T23:18:15Z,2020-04-12
34.9697,1280,27,367,1253,5,49.43942261,19722,130,2.109375,84000005,USA,761.7533537,10.15625,-92.3731,Arkansas,US,2020-04-12T23:18:15Z,2020-04-12
36.1162,22795,641,NA,22154,6,58.13772584,190328,5234,2.81202018,84000006,USA,485.4238685,22.9611757,-119.6816,California,US,2020-04-12T23:18:15Z,2020-04-12
39.0598,7307,289,NA,7018,8,128.943729,34873,1376,3.955111537,84000008,USA,615.3899908,18.8312577,-105.3111,Colorado,US,2020-04-12T23:18:15Z,2020-04-12
41.5978,12035,554,NA,11481,9,337.5604825,41220,1654,4.603240548,84000009,USA,1156.148159,13.74324886,-72.7554,Connecticut,US,2020-04-12T23:18:15Z,2020-04-12
39.3185,1625,35,191,1590,10,166.8782169,11103,190,2.153846154,84000010,USA,1140.214672,11.69230769,-75.5071,Delaware,US,2020-04-12T23:18:15Z,2020-04-12
NA,49,0,0,49,888,NA,NA,NA,0,84088888,USA,NA,NA,NA,Diamond Princess,US,2020-04-12T23:18:15Z,2020-04-12
38.8974,1875,50,493,1825,11,265.6751905,10640,NA,2.666666667,84000011,USA,1507.618148,NA,-77.0268,District of Columbia,US,2020-04-12T23:18:15Z,2020-04-12
27.7663,19895,461,NA,19434,12,93.70022691,182753,2772,2.317165117,84000012,USA,860.7186513,13.93314903,-81.6868,Florida,US,2020-04-12T23:18:15Z,2020-04-12
33.0406,12452,433,NA,12019,13,122.8081405,54453,2505,3.477353036,84000013,USA,537.0439828,20.11725024,-83.6431,Georgia,US,2020-04-12T23:18:15Z,2020-04-12
NA,103,0,0,103,999,NA,NA,NA,0,84099999,USA,NA,NA,NA,Grand Princess,US,2020-04-12T23:18:15Z,2020-04-12
13.4443,133,5,58,128,66,80.98447899,826,13,3.759398496,316,GUM,502.9562379,9.77443609,144.7937,Guam,US,2020-04-12T23:18:15Z,2020-04-12
21.0943,499,9,300,490,15,35.24543964,17968,44,1.803607214,84000015,USA,1269.118355,8.817635271,-157.4983,Hawaii,US,2020-04-12T23:18:15Z,2020-04-12
44.2405,1407,27,NA,1380,16,87.36433536,14308,131,1.918976546,84000016,USA,888.4214004,9.310589908,-114.4788,Idaho,US,2020-04-12T23:18:15Z,2020-04-12
40.3495,20852,720,NA,20132,17,177.6807818,100735,3680,3.452906196,84000017,USA,858.3672336,17.64818722,-88.9861,Illinois,US,2020-04-12T23:18:15Z,2020-04-12
39.8494,7928,343,NA,7585,18,121.1492553,42489,NA,4.326437941,84000018,USA,649.2823801,NA,-86.2583,Indiana,US,2020-04-12T23:18:15Z,2020-04-12
